,,,,,,,,,
PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Jerry Holman,PF,6.00%,-,-,6' 8.75'',,9' 1.5'',232,7' 3.25''
Sam Hoskin,PF,-%,-,-,6' 7.25'',,8' 11.5'',261,6' 10.75''
Josh Howard,SF-SG,6.00%,-,-,6' 5.25'',,8' 9.5'',202,7' 2''
Brandon Hunter,PF,8.00%,-,-,6' 6.5'',,8' 9.5'',266,7' 2.75''
Sani Ibrahim,C-PF,9.30%,-,-,6' 8.5'',,9' 1.5'',229,7' 1''
Michael Ignerski,PF-SF,10.50%,-,-,6' 9.5'',,8' 11'',232,6' 10.75''
Robert Jackson,PF-C,15.90%,-,-,6' 7.75'',,8' 11.5'',254,7' 0''
LeBron James,SF-SG,6.70%,-,-,6' 7.25'',,8' 10.25'',245,7' 0.25''
Britton Johnsen,SF-PF,7.30%,-,-,6' 10'',,8' 11.5'',212,6' 10.75''
James Jones,SF,6.70%,-,-,6' 7.25'',,8' 11.5'',218,7' 2.5''
Dahntay Jones,SG-SF,2.60%,-,-,6' 4.75'',,8' 6.5'',214,6' 9''
Chris Kaman,C-PF,16.30%,-,-,6' 11.5'',,9' 2.5'',252,6' 11.75''
Jason Kapono,SG-SF,11.70%,-,-,6' 6.5'',,8' 6'',215,6' 6.5''
Jason Keep,C-PF,8.60%,-,-,6' 9.75'',,8' 10.5'',270,7' 0.5''
Bernard King,SG-PG,12.90%,-,-,6' 3.75'',,8' 2.5'',200,6' 5.5''
Brandin Knight,PG,10.50%,-,-,5' 11.75'',,7' 11.5'',190,6' 6''
Kyle Korver,SF,6.70%,-,-,6' 6.25'',,8' 6.5'',211,6' 9.5''
James Lang,C-PF,21.40%,-,-,6' 8.25'',,9' 2'',316,7' 6.25''
Donald Little,PF-C,7.30%,-,-,6' 9.5'',,8' 1'',229,7' 3''
Chris Marcus,C,23.10%,-,-,7' 0'',,9' 6'',334,7' 8''
Chris Massie,PF-C,14.80%,-,-,6' 6.5'',,8' 10.5'',259,7' 1''
Will McDonald,C-PF,13.60%,-,-,6' 9.5'',,9' 1.5'',258,7' 3.5''
Darko Milicic,PF,8.00%,-,-,6' 11.5'',,9' 3.5'',250,7' 5''
Jeff Newton,PF,5.30%,-,-,6' 8'',,8' 10'',199,7' 1''
Uche Nsonwu-Amadi,PF-C,6.00%,-,-,6' 7.75'',,8' 10.5'',246,7' 3.75''
Ugonna Okyekwe,SF,4.30%,-,-,6' 7.25'',,9' 1'',228,7' 3''
Marlon Parmer,PG,9.30%,-,-,6' 0.75'',,8' 1'',184,6' 3.5''
Stephane Pelle,PF-SF,12.40%,-,-,6' 7'',,8' 11'',246,7' 2''
Kirk Penney,SG-SF,8.00%,-,-,6' 5'',,8' 1'',218,6' 5.25''
Pavel Podkolzin,C,16.30%,-,-,7' 3.5'',,9' 8'',303,7' 5.75''
Josh Powell,PF-SF,8.00%,-,-,6' 8'',,8' 11.5'',227,7' 1''
Hollis Price,PG-SG,7.30%,-,-,5' 11.5'',,7' 10.5'',165,6' 4.5''
Luke Ridnour,PG,5.30%,-,-,6' 1'',,7' 11.5'',167,6' 3''
Joe Shipp,SG,11.70%,-,-,6' 4'',,8' 7'',224,6' 10''
Ron Slay,SF-PF,16.30%,-,-,6' 6'',,8' 7.5'',236,6' 10''
Theron Smith,PF-SF,9.30%,-,-,6' 6.5'',,8' 8.5'',234,6' 10.25''
Tommy Smith,PF-SF,6.70%,-,-,6' 9'',,8' 11.5'',200,7' 2.5''
Marvin Stone,C-PF,17.40%,-,-,6' 9.5'',,9' 1.5'',261,7' 3.5''
Michael Sweetney,PF,14.10%,-,-,6' 7.25'',,8' 11.5'',262,7' 1''
Sasha Vujacic,PG-SG,14.10%,-,-,6' 5.5'',,8' 5'',193,6' 5.5''
Dwyane Wade,SG-SF,6.70%,-,-,6' 3.75'',,8' 6'',212,6' 10.75''
Wayne Wallace,PF,4.60%,-,-,6' 7.25'',,9' 0'',187,7' 2''
Luke Walton,SF-PF,9.30%,-,-,6' 7.75'',,8' 8'',235,6' 8.5''
David West,PF-SF,8.00%,-,-,6' 8.25'',,9' 0.25'',226,7' 4.25''
Mo Williams,PG-SG,6.70%,-,-,6' 0.75'',,8' 2.5'',189,6' 5.5''
Wesley Wilson,C-PF,12.40%,-,-,6' 10.25'',,9' 2.5'',257,7' 3''
Doug Wrenn,SF-PF,7.30%,-,-,6' 5.75'',,8' 4.5'',220,7' 7.5''
Derrick Zimmerman,PG,5.30%,-,-,6' 1'',,8' .25'',190,6' 9''
Nene,PF,-%,-,-,6' 9.25'',,9' 1'',253,7' 4.5''
Robert Archibald,PF-C,-%,-,-,6' 10'',,9' 1.5'',250,6' 11.75''
Maurice Baker,PG,-%,-,-,5' 11.75'',,8' 0'',178,6' 4''
Matt Barnes,SF,-%,-,-,6' 6.75'',,8' 0.5'',226,6' 9''
Lubos Barton,SF-SG,-%,-,-,6' 6.5'',,8' 11'',221,7' 0''
Lonny Baxter,PF-C,-%,-,-,6' 6.25'',,8' 11.5'',264,7' 1.5''
Lee Benson,SF-PF,-%,-,-,6' 8.25'',,9' 1'',217,7' 1.75''
Carlos Boozer,PF,-%,-,-,6' 7.75'',,9' 0.5'',258,7' 2.25''
Curtis Borchardt,C,-%,-,-,6' 10.75'',,9' 4'',238,7' 2.5''
J.R. Bremer,SG-PG,-%,-,-,6' 1.25'',,8' 0'',188,6' 2.25''
Brian Brown,PG-SG,-%,-,-,6' 2.5'',,8' 3'',194,6' 7''
Sylvere Bryan,PF,-%,-,-,6' 9'',,9' 1.5'',226,7' 4.5''
Chris Burgess,C,-%,-,-,6' 10'',,9' 1'',246,6' 11.5''
Caron Butler,SF-SG,-%,-,-,6' 5.25'',,8' 7.5'',222,6' 11.5''
Rasual Butler,SF,-%,-,-,6' 6.75'',,8' 9.5'',198,7' 0''
Mire Chatman,PG-SG,-%,-,-,6' 0'',,8' 2'',174,6' 6''
Chris Christoffersen,C,-%,-,-,7' 0.75'',,9' 1'',291,7' 3.5''
Lenny Cooke,SG-SF,-%,-,-,6' 5.5'',,8' 11'',214,7' 1''
Craig Dawson,SG-SF,-%,-,-,6' 3.5'',,8' 6'',200,6' 6.25''
Mike Dunleavy,SF,-%,-,-,6' 8'',,8' 10'',230,6' 9''
Teddy Dupay,PG,-%,-,-,5' 9.5'',,7' 6.5'',178,5' 10.75''
Corsley Edwards,PF,-%,-,-,6' 7.25'',,8' 10.5'',285,6' 10.75''
Andy Ellis,PF,-%,-,-,6' 9.25'',,8' 6'',220,6' 10.25''
Melvin Ely,PF,-%,-,-,6' 9'',,9' 3'',240,7' 4''
Reggie Evans,PF,-%,-,-,6' 7.5'',,8' 11.5'',250,7' 2.5''
Peter Fehse,PF-C,-%,-,-,6' 10'',,9' 1'',220,7' 0.5''
Drew Gooden,PF,-%,-,-,6' 8.75'',,8' 10.5'',227,7' 0.5''
David Graves,SG,-%,-,-,6' 4.5'',,8' 5'',212,6' 7''
Lynn Greer,PG,-%,-,-,6' 0.25'',,7' 10.5'',170,6' 1''
Rod Grizzard,SF-SG,-%,-,-,6' 6'',,8' 11'',193,7' 0''
Anthony Grundy,PG-SG,-%,-,-,6' 0.75'',,8' 3'',167,6' 7.75''
Marcus Haislip,PF,-%,-,-,6' 8.5'',,8' 11'',221,7' 0''
Damon Hancock,SG-PG,-%,-,-,6' 2.75'',,8' 3.5'',203,6' 6''
Greg Harrington,PG,-%,-,-,6' 1'',,8' 1'',183,6' 3.75''
Udonis Haslem,PF,-%,-,-,6' 7.75'',,8' 11'',250,6' 11''
Cordell Henry,PG,-%,-,-,5' 8'',,7' 8'',155,6' 1''
Randy Holcomb,SF-PF,-%,-,-,6' 7'',,8' 9'',225,7' 1''
Ryan Humphrey,PF-SF,-%,-,-,6' 6'',,8' 8.5'',223,7' 0''
Jared Jeffries,PF,-%,-,-,6' 10'',,9' 1'',230,7' 0.5''
Jason Jennings,C,-%,-,-,6' 11.25'',,9' 3'',249,7' 7''
Fred Jones,SG,-%,-,-,6' 2.25'',,8' 4'',218,7' 0''
Lonnie Jones,C-PF,-%,-,-,6' 10.25'',,9' 4'',230,7' 2.25''
Mario Kasun,C,-%,-,-,6' 11.75'',,9' 1'',260,6' 11.5''
Sean Kennedy,PG,-%,-,-,6' 0.75'',,8' 0'',182,6' 2.5''
Kris Lang,C-PF,-%,-,-,6' 9.25'',,9' 1'',242,6' 11.75''
Muhammed Lasege,C-PF,-%,-,-,6' 8.75'',,9' 0.5'',228,7' 2''
Steve Logan,PG,-%,-,-,5' 10'',,7' 8.5'',207,5' 11.75''
Kevin Lyde,C-PF,-%,-,-,6' 8.75'',,9' 1.5'',278,7' 2''
Tito Maddox,PG,-%,-,-,6' 3'',,8' 3'',200,6' 5''
Kei Madison,SF,-%,-,-,6' 7.75'',,8' 11'',216,7' 0.5''
Chris Massie,PF,-%,-,-,6' 6.25'',,8' 11'',248,7' 0''
Immanuel McElroy,SG,-%,-,-,6' 2.25'',,8' 4'',191,6' 6.5''
Aaron McGhee,PF-SF,-%,-,-,6' 7'',,8' 9.5'',255,6' 10''
Elvin Mims,SF-SG,-%,-,-,6' 4.25'',,8' 9.5'',211,7' 1.5''
Byron Mouton,SG-SF,-%,-,-,6' 4.5'',,8' 6'',213,6' 10.25''
Ronald Murray,SG,-%,-,-,6' 3'',,8' 4.5'',197,6' 7.5''
Uche Okafor,PF-C,-%,-,-,6' 9'',,9' 4'',229,7' 5.5''
Chris Owens,PF-SF,-%,-,-,6' 7'',,8' 8'',237,6' 11.5''
Jannero Pargo,PG,-%,-,-,6' 0.25'',,8' 0'',168,6' 2.5''
Smush Parker,PG-SG,-%,-,-,6' 2.5'',,8' 11.5'',179,6' 10''
Luke Recker,SG-SF,-%,-,-,6' 4.75'',,8' 5'',198,6' 7''
Rolan Roberts,PF,-%,-,-,6' 5.75'',,8' 9.5'',241,7' 1''
Travis Robinson,SF,-%,-,-,6' 5.25'',,8' 8.5'',211,6' 10.5''
Kareem Rush,SG-SF,-%,-,-,6' 4.75'',,8' 7.5'',199,6' 9.75''
Brooks Sales,PF-C,-%,-,-,6' 9'',,9' 0'',232,6' 10''
John Salmons,SF-SG,-%,-,-,6' 5.5'',,8' 8'',207,6' 10.25''
Predrag Savovic,SG,-%,-,-,6' 4.75'',,8' 6'',212,6' 7''
Julian Sensley,PF-SF,-%,-,-,6' 7'',,8' 9.5'',228,6' 11.5''
Israel Sheinfeld,PF-C,-%,-,-,6' 8.25'',,8' 10.5'',239,6' 9.75''
Preston Shumpert,SF,-%,-,-,6' 6'',,8' 7.5'',197,6' 8.5''
Tamar Slay,SF,-%,-,-,6' 6.75'',,8' 8'',203,6' 11.5''
Darius Songaila,PF,-%,-,-,6' 8'',,9' 0.5'',240,7' 1''
Amar'e Stoudemire,PF,-%,-,-,6' 8.5'',,9' 0.5'',233,7' 1.75''
Marcus Taylor,PG,-%,-,-,6' 1'',,8' 2.5'',181,6' 4.5''
Jobey Thomas,SG,-%,-,-,6' 2.75'',,8' 3.5'',183,6' 5.75''
Dajuan Wagner,PG-SG,-%,-,-,6' 0.75'',,8' 3'',193,6' 2''
Chris Wilcox,PF-C,-%,-,-,6' 8.25'',,8' 11.5'',218,7' 1''
Frank Williams,PG,-%,-,-,6' 1.5'',,8' 4.5'',212,6' 8''
George Williams,PF-SF,-%,-,-,6' 5.75'',,8' 7'',214,7' 0.5''
Jay Williams,PG,-%,-,-,6' 0.25'',,8' 1'',197,6' 3.5''
Qyntel Woods,SF-SG,-%,-,-,6' 7'',,8' 9'',213,6' 10''
Vincent Yarbrough,SF,-%,-,-,6' 5.5'',,8' 8.5'',202,7' 0.5''
Adam Allenspach,C,12.40%,-,-,6' 11.5'',,8' 11'',259,7' 0.5''
Gilbert Arenas,SG,5.30%,-,-,6' 2.25'',,8' 3.5'',199,6' 9.5''
Brandon Armstrong,SG,9.30%,-,-,6' 3.5'',,8' 3.5'',188,6' 9.5''
Shane Battier,SF-PF,9.30%,-,-,6' 8.25'',,8' 9'',229,6' 10.5''
Cookie Belcher,SG-PG,5.30%,-,-,6' 3'',,8' 3'',206,6' 8.5''
Charlie Bell,PG,6.70%,-,-,6' 2.5'',,8' 1.5'',200,6' 7.5''
Ruben Boumtje-Boumtje,C,6.00%,-,-,6' 11.5'',,9' 3'',245,7' 4''
Calvin Bowman,PF,8.60%,-,-,6' 8.75'',,8' 8'',214,6' 11.5''
Michael Bradley,PF,9.30%,-,-,6' 9.5'',,8' 11'',227,7' 1.5''
Jamison Brewer,PG,6.70%,-,-,6' 2.5'',,8' 6.5'',178,6' 8.75''
Kwame Brown,PF-C,8.90%,-,-,6' 10'',,9' 0'',243,7' 1''
SirValiant Brown,PG,6.70%,-,-,5' 11'',,7' 8.5'',176,6' 4''
Damone Brown,SF,6.70%,-,-,6' 8.25'',,8' 8.5'',202,6' 11.75''
Ryan Carroll,SF-SG,8.00%,-,-,6' 4'',,8' 3'',202,6' 8.25''
Tyson Chandler,SF-PF,6.70%,-,-,6' 11.5'',,9' 2'',224,7' 3''
Eric Chenowith,C,12.90%,-,-,7' 1'',,9' 3'',264,7' 4''
Sam Clancy,PF,8.00%,-,-,6' 6.25'',,8' 11'',242,7' 2.75''
Gyasi Cline-Heard,PF,8.00%,-,-,6' 6.25'',,8' 7'',231,6' 11.5''
Jason Collins,PF-C,12.90%,-,-,6' 10.25'',,9' 2'',251,7' 4.5''
Jarron Collins,C-PF,15.20%,-,-,6' 9.25'',,8' 8'',252,7' 3''
Omar Cook,PG,5.50%,-,-,5' 11.5'',,7' 8'',189,6' 5.5''
Eddy Curry,C,16.50%,-,-,6' 10.5'',,9' 3'',301,7' 6.5''
Tate Decker,SF,13.60%,-,-,6' 9.25'',,8' 11'',218,6' 11.75''
DeSagana Diop,C,21.00%,-,-,6' 10'',,9' 5'',314,7' 6.5''
Robb Dryden,C,8.00%,-,-,7' 1'',,9' 2.25'',241,7' 2.5''
Anthony Evans,PF,12.90%,-,-,6' 6'',,8' 5.5'',267,6' 11.5''
Maurice Evans,SG,4.00%,-,-,6' 4.25'',,8' 5'',221,6' 8''
Benjamin Eze,C-PF,3.90%,-,-,6' 8.75'',,9' 1'',232,7' 6''
Kimani Ffriend,C-PF,11.70%,-,-,6' 9.5'',,9' 0.5'',228,6' 10.75''
Alton Ford,PF,8.00%,-,-,6' 8.25'',,8' 6.5'',271,6' 10.5''
Joseph Forte,SG,-%,-,-,6' 3.5'',,8' 4.5'',193,6' 6.5''
Jason Gardner,PG,8.00%,-,-,5' 9.75'',,7' 8.5'',188,6' 1.25''
Jerry Green,PG-SG,5.50%,-,-,6' 1.5'',,8' 3'',179,6' 6.25''
Kenny Gregory,SF,6.70%,-,-,6' 3.5'',,8' 5'',200,6' 11.25''
Eddie Griffin,PF-SF,4.00%,-,-,6' 9.25'',,9' 2'',222,7' 3''
Trenton Hassell,SG-SF,5.30%,-,-,6' 4.25'',,8' 3.5'',205,6' 8''
Kirk Haston,PF-SF,10.50%,-,-,6' 8'',,8' 10'',242,7' 0.25''
Charles Hathaway,C,-%,-,-,6' 8'',,8' 11.5'',274,7' 2''
Brendan Haywood,C,12.90%,-,-,6' 11.75'',,9' 5.5'',266,7' 6.5''
Michael Hicks,SG,7.30%,-,-,6' 4'',,8' 4.5'',197,6' 9.25''
Steven Hunter,C-PF,5.30%,-,-,6' 10.25'',,9' 0'',224,7' 4''
Andre Hutson,PF,11.70%,-,-,6' 8.25'',,8' 9.5'',244,6' 11.75''
Nate James,SF,6.00%,-,-,6' 4.75'',,8' 7'',196,6' 10.75''
Richard Jefferson,SF,6.70%,-,-,6' 7.25'',,8' 7'',223,7' 0''
Horace Jenkins,PG,6.00%,-,-,5' 11.75'',,8' 1'',171,6' 5.25''
Darrell Johns,C,19.10%,-,-,6' 11.25'',,9' 3.5'',278,7' 5''
Ken Johnson,C,9.90%,-,-,6' 10.75'',,9' 1.5'',227,7' 4''
Joe Johnson,SF-SG,6.70%,-,-,6' 6.75'',,8' 9'',226,6' 9''
Darren Kelly,SG-PG,6.70%,-,-,6' 2'',,8' 4'',178,6' 6.75''
Sean Lampley,SF,8.00%,-,-,6' 5.5'',,8' 5'',213,6' 9.25''
Zach Marbury,PG-SG,6.70%,-,-,6' 1.25'',,8' 0.5'',183,6' 3.5''
Mike Mardesich,C-PF,13.60%,-,-,6' 10.25'',,9' 0.5'',247,7' 0.5''
DeMarcus Minor,SG,6.70%,-,-,6' 3.25'',,8' 3.5'',207,6' 8.25''
Jamario Moon,SF,5.30%,-,-,6' 6.5'',,8' 7'',185,6' 11.5''
Troy Murphy,PF,11.70%,-,-,6' 9.75'',,8' 9.5'',230,6' 11''
Troy Ostler,PF-SF,8.00%,-,-,6' 8.75'',,8' 10.5'',200,7' 1.5''
Lazaros Papadopoulos,C-PF,11.70%,-,-,6' 10.25'',,9' 2.5'',227,7' 2.5''
Rashad Phillips,PG,12.40%,-,-,5' 9'',,7' 8'',166,6' 1.5''
Demetrius Porter,PG,12.40%,-,-,5' 10.75'',,7' 10'',178,6' 2.75''
Martin Rancik,PF-SF,8.00%,-,-,6' 8.75'',,8' 6.5'',230,6' 8''
Jason Richardson,SF-SG,5.30%,-,-,6' 4.75'',,8' 6.5'',213,6' 11.5''
Norman Richardson,SG,6.00%,-,-,6' 3.5'',,8' 3'',180,6' 4.5''
Jeryl Sasser,PG-SG,6.70%,-,-,6' 5.5'',,8' 7.5'',194,6' 10.5''
Kenny Satterfield,PG,6.70%,-,-,6' 1'',,8' 2'',176,6' 4.5''
Brian Scalabrine,PF-SF,13.60%,-,-,6' 8.75'',,8' 9.5'',241,6' 9.75''
Lee Scruggs,PF-SF,10.50%,-,-,6' 10.25'',,9' 2.5'',209,7' 5.75''
Bobby Simmons,SF,6.70%,-,-,6' 6.25'',,8' 9'',235,7' 0.25''
Will Solomon,PG-SG,4.00%,-,-,5' 11.75'',,8' 3.5'',172,6' 9.5''
Greg Stevenson,SF,7.30%,-,-,6' 3.75'',,8' 6'',215,7' 0.5''
Damone Thornton,PF,8.00%,-,-,6' 6.75'',,8' 7.75'',235,7' 1.75''
Jamaal Tinsley,PG,13.60%,-,-,6' 0.75'',,8' 1.5'',199,6' 7.5''
Tory Walker,SF,6.70%,-,-,6' 6.75'',,8' 8.5'',187,6' 11.25''
Souleymane Wane,C,11.20%,-,-,6' 8.5'',,9' 1'',235,7' 5''
Earl Watson,PG,4.00%,-,-,6' 0'',,8' 1'',184,6' 6.75''
Rodney White,SF,9.30%,-,-,6' 7.5'',,8' 8.5'',243,6' 11.5''
Loren Woods,C-PF,9.30%,-,-,7' 0.75'',,9' 5'',246,7' 5.5''
Michael Wright,PF,9.30%,-,-,6' 7'',,8' 10.5'',247,6' 11.5''
Brent Wright,PF-SF,12.40%,-,-,6' 7.75'',,8' 9.5'',236,7' 1.5''
Malik Allen,PF-C,-%,-,-,6' 8.25'',,9' 1'',271,7' 2.5''
Harold Arceneaux,SG-SF,-%,-,-,6' 4.5'',,8' 7'',219,6' 8.5''
Lamont Barnes,PF-C,-%,-,-,6' 8.5'',,9' 0'',235.5,7' 3.5''
Mario Bland,PF,-%,-,-,6' 5.5'',,8' 7'',287,7' 0''
Primoz Brezec,C,-%,-,-,7' 0.75'',,9' 2'',243,7' 2''
Ernest Brown,C,-%,-,-,6' 10'',,9' 1.5'',222.5,7' 1.25''
Speedy Claxton,PG,-%,-,-,5' 10.5'',,7' 10.5'',166,6' 0''
Eric Coley,SG-SF,-%,-,-,6' 4'',,8' 6'',205,6' 11''
Ed Cota,PG,-%,-,-,6' 0.25'',,8' 0.5'',189,6' 4''
Schea Cotton,SF,-%,-,-,6' 4.25'',,8' 4'',219.5,6' 7''
Jamal Crawford,PG-SG,-%,-,-,6' 4.5'',,8' 6.5'',175,6' 10''
Caswell Cyrus,PF,-%,-,-,6' 7.75'',,8' 11.5'',220.5,7' 2''
Khalid El-Amin,PG,-%,-,-,5' 9'',,7' 9'',200,6' 1.5''
Vassil Evtimov,PF,-%,-,-,6' 9.75'',,8' 10.5'',262,6' 10.5''
Antonis Fotsis,SF,-%,-,-,6' 9.25'',,8' 10'',219,6' 8.5''
Eddie Gill,PG,-%,-,-,5' 11.75'',,7' 9'',176,6' 4''
Ceedric Goodwyn,SF-PF,-%,-,-,6' 6'',,8' 8.5'',238,6' 10''
Marcus Goree,SF-PF,-%,-,-,6' 7.5'',,8' 9.5'',239,7' 0.5''
A.J. Granger,SF,-%,-,-,6' 7.5'',,8' 7'',227,6' 9.5''
A.J. Guyton,PG-SG,-%,-,-,6' 0.75'',,8' 1.5'',175,6' 3.75''
Ron Hale,SG-SF,-%,-,-,6' 7.5'',,8' 8.5'',202,6' 11''
Jason Hart,PG,-%,-,-,6' 1.75'',,8' 1.5'',181,6' 6''
Donnell Harvey,PF,-%,-,-,6' 7.25'',,8' 9.5'',220,7' 0.5''
Johnny Hemsley,SG-SF,-%,-,-,6' 2.75'',,8' 4.5'',200,6' 8''
Michael Hermon,SG-PG,-%,-,-,6' 2.75'',,8' 2.5'',195,6' 6.25''
Cory Hightower,SG-SF,-%,-,-,6' 5.5'',,8' 5.5'',183,6' 11''
Shaheen Holloway,PG,-%,-,-,5' 9.5'',,7' 7'',174,5' 10''
Eddie House,SG-PG,-%,-,-,5' 11.75'',,7' 11'',176.5,6' 3.5''
Jimmie Hunter,SG-PG,-%,-,-,6' 3'',,8' 4'',170,6' 8''
Jacob Jaacks,PF,-%,-,-,6' 9.25'',,8' 9.5'',238,6' 11''
Marko Jaric,SG-SF,-%,-,-,6' 6.5'',,8' 8'',210,6' 9''
Nate Johnson,SF,-%,-,-,6' 6.5'',,8' 8'',211.5,6' 8.5''
Kenyon Jones,PF-C,-%,-,-,6' 9'',,9' 0'',282,7' 1''
Mark Karcher,SG,-%,-,-,6' 4'',,8' 6.5'',218,6' 8''
Brandon Kurtz,PF-C,-%,-,-,6' 9.5'',,8' 10.5'',257,6' 11.25''
Dan Langhi,SF,-%,-,-,6' 9'',,8' 8'',197.5,6' 8''
Justin Love,PG-SG,-%,-,-,6' 1.5'',,8' 1.5'',205.5,6' 4.5''
Mark Madsen,PF,-%,-,-,6' 8'',,8' 8.5'',236.5,7' 0.5''
Dan McClintock,C-PF,-%,-,-,6' 11'',,8' 11'',250,7' 1.5''
Pete Mickeal,SG-SF,-%,-,-,6' 5'',,8' 7.5'',222,6' 9.5''
Brian Montonati,PF,-%,-,-,6' 8.75'',,8' 10'',215,6' 10.5''
Gabe Muoneke,PF-SF,-%,-,-,6' 6.25'',,8' 9'',244,7' 0.5''
Ndongo N'diaye,C,-%,-,-,6' 11.5'',,9' 4.5'',208,7' 3.5''
Eduardo Najera,PF-SF,-%,-,-,6' 6.5'',,8' 8.5'',234.5,6' 11.5''
Matthew Nielsen,PF,-%,-,-,6' 9'',,8' 10'',223,6' 10.5''
Chris Porter,SF-PF,-%,-,-,6' 5.5'',,8' 7.5'',214,6' 9.5''
Lavor Postell,SG,-%,-,-,6' 4.5'',,8' 5.5'',205,6' 8.5''
Igor Rakocevic,PG,-%,-,-,6' 2.5'',,8' 4'',184,6' 5.25''
Reed Rawlings,SG-SF,-%,-,-,6' 6.25'',,8' 8'',218,6' 9.25''
Michael Redd,SG-SF,-%,-,-,6' 4.75'',,8' 6'',214,6' 9''
Damon Reed,PF-C,-%,-,-,6' 8.5'',,8' 8.5'',228,6' 9.5''
Aubrey Reese,PG,-%,-,-,5' 10.75'',,7' 10.5'',189,6' 5.5''
Terrance Roberson,SF,-%,-,-,6' 5.5'',,8' 7.5'',209,6' 8''
Julius Doc Robinson,PG,-%,-,-,6' 0'',,7' 11.5'',184,6' 3.75''
Pepe Sanchez,PG,-%,-,-,6' 3'',,8' 0'',194,6' 3.5''
Matt Santangelo,PG,-%,-,-,6' 0'',,7' 10'',177,6' 3''
Alex Scales,SG-PG,-%,-,-,6' 2.25'',,8' 1.5'',184.5,6' 9''
Karim Shabazz,C,-%,-,-,6' 11.5'',,9' 3.5'',224,7' 3''
Nick Sheppard,PF-C,-%,-,-,6' 9.5'',,8' 11.5'',273,6' 11''
Mike Smith,SF,-%,-,-,6' 6.5'',,8' 7'',198,6' 8.5''
Jabari Smith,PF-C,-%,-,-,6' 9.75'',,9' 1.5'',240.5,7' 2.5''
Jarrett Stephens,PF,-%,-,-,6' 5.25'',,8' 7'',258,6' 9.25''
Bootsy Thornton,SG,-%,-,-,6' 3.5'',,8' 5.5'',194.5,6' 6.5''
Jaquay Walls,PG,-%,-,-,6' 1.25'',,8' 0.5'',165.5,6' 2.5''
Jameel Watkins,PF-C,-%,-,-,6' 9.5'',,9' 2'',244.5,7' 6''
Trey Alexander,SG,-%,8.5,8.75,6' 3.25'',,8' 5.50'',184.6,6' 10.00''
Amari Bailey,SG,-%,8,9.25,6' 3.25'',,8' 7.50'',190.8,6' 7.00''
Emoni Bates,SF,-%,8,8.25,6' 8.25'',,8' 9.00'',179.2,6' 9.00''
Reece Beekman,PG,-%,8.5,8.25,6' 1.50'',,8' 4.50'',190.6,6' 7.00''
Anthony Black,PG,-%,8.25,9.5,6' 5.75'',,8' 6.50'',210,6' 7.50''
Adem Bona,C,-%,9.25,10,6' 8.25'',,9' 2.50'',243.4,7' 0.25''
Kobe Brown,PF,-%,8.75,9.75,6' 6.50'',,8' 10.50'',252.2,7' 0.75''
Kobe Bufkin,SG,-%,8,9.25,6' 4.25'',,8' 6.50'',186.8,6' 7.75''
Toumani Camara,PF,-%,9,10,6' 7.00'',,8' 11.00'',220.4,7' 0.50''
Sidy Cissoko,SF,-%,9.25,10,6' 5.50'',,8' 8.00'',223.8,6' 9.75''
Jaylen Clark,SG,-%,8.5,9,6' 4.00'',,8' 5.50'',204.2,6' 9.00''
Noah Clowney,PF,-%,-,-,,,,-,
Bilal Coulibaly,SG-SF,-%,-,-,,,,-,
Ricky Council IV,SF,-%,7.75,8.5,6' 5.00'',,8' 7.00'',208,6' 9.00''
Gradey Dick,SG,-%,8.25,9,6' 6.25'',,8' 5.00'',204,6' 8.75''
Nikola Djurisic,SF,-%,8.25,9.5,6' 7.00'',,8' 6.00'',217.6,6' 8.25''
Zach Edey,C,-%,9.75,11,7' 3.25'',,9' 7.50'',306.4,7' 10.50''
Adam Flagler,PG,-%,8,9.25,6' 1.00'',,8' 1.00'',191.8,6' 4.50''
Keyonte George,SG,-%,-,-,,,,-,
Mouhamed Gueye,C,-%,9,10,6' 10.25'',,9' 2.50'',212.6,7' 3.25''
Jordan Hawkins,SG,-%,8.25,8.75,6' 4.25'',,8' 5.50'',186,6' 6.75''
Coleman Hawkins,PF,-%,8.75,8.75,6' 8.50'',,9' 0.50'',224.4,7' 0.25''
Scoot Henderson,PG,-%,-,-,,,,-,
Taylor Hendricks,PF,-%,9.25,10.25,6' 8.25'',,8' 11.00'',213.6,7' 0.50''
DaRon Holmes II,C,-%,8.5,9.5,6' 9.00'',,9' 1.00'',220.8,7' 0.50''
Jalen Hood-Schifino,PG,-%,9,9.75,6' 4.25'',,8' 4.50'',216.6,6' 10.25''
Jett Howard,SF,-%,-,-,,,,-,
GG Jackson,PF,-%,8.5,10,6' 8.25'',,8' 10.00'',214.4,6' 11.50''
Andre Jackson Jr.,SF,-%,8.25,9.5,6' 5.50'',,8' 7.00'',198.4,6' 9.75''
Trayce Jackson-Davis,C,-%,9.25,10.75,6' 8.25'',,8' 10.00'',240.4,7' 1.00''
Jamie Jaquez Jr.,SF,-%,8.5,9.5,6' 6.00'',,8' 3.50'',226.4,6' 9.50''
Keyontae Johnson,SF,-%,9,9,6' 4.00'',,8' 7.00'',238.6,7' 0.00''
